duration,duration_noSilence,voiced,voiced_noSilence,amEnvDep_mean,amEnvDep_median,amEnvDep_sd,amEnvDepVoiced_mean,amEnvDepVoiced_median,amEnvDepVoiced_sd,amEnvFreq_mean,amEnvFreq_median,amEnvFreq_sd,amEnvFreqVoiced_mean,amEnvFreqVoiced_median,amEnvFreqVoiced_sd,amEnvPurity_mean,amEnvPurity_median,amEnvPurity_sd,amEnvPurityVoiced_mean,amEnvPurityVoiced_median,amEnvPurityVoiced_sd,amMsFreq_mean,amMsFreq_median,amMsFreq_sd,amMsFreqVoiced_mean,amMsFreqVoiced_median,amMsFreqVoiced_sd,amMsPurity_mean,amMsPurity_median,amMsPurity_sd,amMsPurityVoiced_mean,amMsPurityVoiced_median,amMsPurityVoiced_sd,ampl_mean,ampl_median,ampl_sd,ampl_noSilence_mean,ampl_noSilence_median,ampl_noSilence_sd,amplVoiced_mean,amplVoiced_median,amplVoiced_sd,CPP_mean,CPP_median,CPP_sd,dom_mean,dom_median,dom_sd,domVoiced_mean,domVoiced_median,domVoiced_sd,entropy_mean,entropy_median,entropy_sd,entropyVoiced_mean,entropyVoiced_median,entropyVoiced_sd,f1_freq_mean,f1_freq_median,f1_freq_sd,f1_width_mean,f1_width_median,f1_width_sd,f2_freq_mean,f2_freq_median,f2_freq_sd,f2_width_mean,f2_width_median,f2_width_sd,f3_freq_mean,f3_freq_median,f3_freq_sd,f3_width_mean,f3_width_median,f3_width_sd,flux_mean,flux_median,flux_sd,fmDep_mean,fmDep_median,fmDep_sd,fmFreq_mean,fmFreq_median,fmFreq_sd,fmPurity_mean,fmPurity_median,fmPurity_sd,harmEnergy_mean,harmEnergy_median,harmEnergy_sd,harmHeight_mean,harmHeight_median,harmHeight_sd,HNR_mean,HNR_median,HNR_sd,HNRVoiced_mean,HNRVoiced_median,HNRVoiced_sd,loudness_mean,loudness_median,loudness_sd,loudnessVoiced_mean,loudnessVoiced_median,loudnessVoiced_sd,novelty_mean,novelty_median,novelty_sd,noveltyVoiced_mean,noveltyVoiced_median,noveltyVoiced_sd,peakFreq_mean,peakFreq_median,peakFreq_sd,peakFreqVoiced_mean,peakFreqVoiced_median,peakFreqVoiced_sd,pitch_mean,pitch_median,pitch_sd,quartile25_mean,quartile25_median,quartile25_sd,quartile25Voiced_mean,quartile25Voiced_median,quartile25Voiced_sd,quartile50_mean,quartile50_median,quartile50_sd,quartile50Voiced_mean,quartile50Voiced_median,quartile50Voiced_sd,quartile75_mean,quartile75_median,quartile75_sd,quartile75Voiced_mean,quartile75Voiced_median,quartile75Voiced_sd,roughness_mean,roughness_median,roughness_sd,roughnessVoiced_mean,roughnessVoiced_median,roughnessVoiced_sd,specCentroid_mean,specCentroid_median,specCentroid_sd,specCentroidVoiced_mean,specCentroidVoiced_median,specCentroidVoiced_sd,specSlope_mean,specSlope_median,specSlope_sd,specSlopeVoiced_mean,specSlopeVoiced_median,specSlopeVoiced_sd,subDep_mean,subDep_median,subDep_sd,subRatio_mean,subRatio_median,subRatio_sd,ID,nationality,emotion
8.362666667,6.95,0.225225225,0.681818182,0.14207457,0.087336399,0.146647838,0.112558978,0.052864196,0.133656329,76.67712415,97.78055784,42.83915478,84.13779102,105.9722292,41.64388183,-16.75251571,-16.5028743,1.568322997,-16.47941165,-16.06470924,1.339657516,108.8032962,113.3929658,14.72761878,109.9952394,114.3513448,12.48226743,-14.26094653,-14.10432354,1.611770671,-14.29420143,-14.10432354,1.523056592,0.027963859,0.014498575,0.035439288,0.068415005,0.058201324,0.034074258,0.069710804,0.062202739,0.036712119,13.1950108,13.02179638,2.648766708,225.1182306,117.2178367,560.8654953,115.6740679,116.036245,6.991251093,0.187173526,0.160727091,0.136035608,0.040916323,0.033849954,0.02786914,783.2581818,521.685,897.7952478,136.3004424,93.07979308,122.3803454,1833.111818,1496.345,1062.640779,151.3087824,124.5877378,100.6916915,2625.714,2271.985,1172.668214,173.4526496,133.3575693,131.0360321,0.083062933,0.000618659,0.206752113,0.117184722,0.128134356,0.059520954,5.349201398,5.034228219,0.436996879,-24.7249587,-24.32139265,2.048626699,7.57117996,7.916087022,2.600589107,1558.128601,1386.3965,1028.683538,5.417457107,6.986835868,3.897786902,7.650486391,7.478394812,1.607627859,15.47114135,15.47355207,6.14358834,16.75381205,16.47886923,5.653535114,-0.132729236,-0.14398181,0.335640607,-0.145174835,-0.144112123,0.323034437,786,360,1416.139085,321.1267606,340,222.5793553,114.7538411,114.9476753,6.883789831,819.2727273,370,1383.244231,347.0422535,340,143.7099695,1166.181818,650,1610.068653,594.3661972,580,283.8950128,2156.545455,1460,2146.322409,1451.549296,1380,696.5602177,22.10243196,21.32427647,2.621040696,21.10321737,20.82496703,1.546921661,1789.15501,1178.583655,1686.359647,1155.94624,1109.088977,314.6801886,-1.935183609,-1.962306197,0.328139793,-1.91697256,-1.956784083,0.319523456,0.078447803,0,0.164249366,2.315789474,2,0.477566933,10f8acdfc8e6412099752063aca5a919,English,Neutral
1.671836735,1.649274376,0.676923077,0.88,0.2700034,0.175844491,0.193197957,0.250948446,0.166035783,0.186446517,25.14398859,14.098919,34.85102149,18.62978908,14.80639047,17.61836137,-15.21926362,-15.29913251,1.027453658,-15.3510605,-15.29913251,1.008809573,86.59817653,86.05371901,27.84386857,86.37997966,84.78822314,27.84377746,-16.04988438,-15.70668849,2.620651159,-16.23250856,-16.0548325,2.810244654,0.01921261,0.012221059,0.019190333,0.023984295,0.018311133,0.019481058,0.024129943,0.019583538,0.021258579,7.109779515,7.092866219,2.185224425,213.8437553,161.3146198,70.50463008,215.2686395,160.4427721,70.9012215,0.097805322,0.054989565,0.096023834,0.072740604,0.047929366,0.060907089,617.9368,450.85,411.6782824,141.25643,109.0971448,126.5881103,1511.1326,1420.015,505.7012483,116.2416594,70.74163683,130.363616,2676.1594,2601.04,1015.09527,215.4589066,137.3994381,191.5004144,0.104411404,0.026298399,0.14308582,1.26613711,1.341898301,0.361552076,5.002268603,5.002268603,0,-14.02116786,-14.27851559,0.643297768,6.032910831,6.160329243,6.239825019,959.4163964,894.5275697,416.3099105,5.87781199,5.139400213,3.531848958,7.13662702,6.745608438,3.056271706,3.159157124,3.220007127,1.19707822,3.282017406,3.32616004,1.323716089,-0.115276956,-0.127838825,0.436860409,-0.176838572,-0.276378098,0.419555485,487.8212341,300.1361162,404.9489388,458.1024931,300.1361162,391.4551186,208.8850269,183.0008499,59.80895348,436.9981851,310.1406534,293.1359713,400.7080428,280.1270417,297.5649088,943.2277677,630.2858439,1379.877352,920.9439775,460.2087114,1579.963616,1482.672414,1100.499093,2108.734939,1539.64562,940.4264973,2418.846427,21.95963683,22.21803013,2.161486194,21.57586002,21.15443245,2.252720103,1378.7468,1183.477277,1078.621841,1381.807177,1082.009,1234.056779,-1.628257603,-1.626477367,0.264634711,-1.562995817,-1.560344596,0.2579112,0.57247487,0.609710476,0.20188901,2.977272727,3,1.04522472,27c8e56700e485fb6efdd18405ddf999,English,Happy
1.95047619,1.474353741,0.402597403,0.534482759,0.380794204,0.3152271,0.231003866,0.464352724,0.449854033,0.277236643,15.21065995,13.36061586,5.020186815,16.7859783,16.50417901,5.39635335,-17.55718596,-17.46070758,0.957867068,-17.15371026,-17.29769531,1.043131622,50.54530431,45.95123729,23.35969016,41.56511663,42.03610945,11.77990978,-18.39661279,-17.79581652,3.171203756,-18.40184975,-17.95048444,3.165599338,0.061407533,0.059101603,0.047138018,0.081145419,0.074089182,0.03678048,0.087523807,0.079433611,0.037307268,11.2022637,11.16033266,2.747162361,243.5505505,239.2481349,42.19835737,245.5346155,246.4393884,37.65548524,0.136011178,0.064088135,0.152821773,0.056326995,0.059426838,0.021792218,721.2182759,687.165,344.9284575,210.667781,180.6303404,160.2203868,1700.85931,1593.53,429.4743782,215.4488904,187.2579725,144.6801898,2582.205172,2412.09,564.1973319,242.6354544,219.4419469,118.999006,0.077471271,0.040442845,0.113737909,0.278108472,0.314038082,0.148434281,6.85396715,5.002268603,2.262351157,-23.41552997,-22.29401984,2.572855523,8.842778099,9.088308211,4.89921129,1658.682142,1367.508671,753.2112883,4.212871483,3.394319797,4.465813752,7.376119255,7.423866969,3.386566288,10.18041872,9.910632077,2.933791529,10.35357218,10.36311082,2.933327858,-0.078468251,-0.160525712,0.43267785,-0.056537373,-0.2449879,0.49198482,717.9117905,560.2540835,524.8609054,783.5811721,700.3176044,534.9349554,239.0012099,244.3112326,37.85830379,629.9408599,590.2676951,211.9630638,567.3540776,580.2631579,205.3928247,1398.565304,1540.69873,396.7917352,1320.598911,1520.689655,458.0577842,2291.384004,2401.088929,591.2202744,2281.034483,2241.016334,690.0278548,21.64840209,21.81673386,3.124820597,19.70832959,19.84626376,2.696216294,1816.21369,1811.656706,373.2290123,1772.657598,1804.933927,358.0918218,-2.411168408,-2.405766416,0.307379371,-2.356011113,-2.402024063,0.329086151,0.308098364,0.337567756,0.257567588,3.8,4,1.08012345,27c8e56700e485fb6efdd18405ddf999,English,Neutral
5.29414966,5.247641723,0.452380952,0.590062112,0.231650391,0.203015743,0.120532173,0.234123917,0.195225802,0.126388023,27.52760009,18.95398753,24.9162587,19.3635385,17.02507629,8.630601095,-16.44452114,-16.03053578,2.060668705,-15.85038697,-15.60367068,1.614033197,66.54781344,62.00324252,24.02411084,66.58643761,64.77643442,22.67762465,-15.15715337,-15.02806555,3.412521614,-16.43688479,-16.49116144,3.119543266,0.037860627,0.033097555,0.029284561,0.048222579,0.0421359,0.025535802,0.053431199,0.050422126,0.026425411,8.308516205,8.39613582,1.784254442,210.8972866,196.476559,70.0951978,206.512824,179.8397852,59.62823924,0.133592981,0.066341827,0.145378231,0.061383165,0.049388152,0.044818813,563.7510559,420.03,477.5200859,134.332268,88.71911232,129.7033394,1985.952236,2084.21,570.2075538,160.2886861,120.9950731,126.8729103,2824.506522,2602.38,754.5815004,217.246384,186.2880323,147.8267619,0.077217699,0.021036781,0.115942504,1.714997754,0.702471204,2.545251562,6.817859762,5.354032783,2.117664174,-18.49080694,-18.40344618,2.765905177,7.859274993,8.303290555,4.965266671,910.4964713,733.5443402,648.9776427,5.000398898,5.098666753,3.862224576,7.317951153,7.031639249,2.827457784,6.905633812,6.740288757,2.477086112,6.953432063,6.951039903,2.202014705,-0.0971932,-0.109870219,0.414411932,-0.097511688,-0.128425141,0.420491034,842.2453247,340.154265,1655.009924,430.9322762,340.154265,477.101751,208.9099195,203.5488243,88.02656807,926.6314211,400.1814882,1423.456572,501.0693476,340.154265,538.3647296,1727.740077,840.3811252,2025.123528,1052.687936,560.2540835,940.0065424,3010.309319,2461.116152,2704.187636,2346.748496,2140.970962,1977.11626,22.38978469,22.40291496,2.698443735,20.93816117,20.54519323,2.217635238,2273.054784,1706.77567,1826.807296,1734.878498,1435.783506,992.9111842,-2.092171287,-2.075507359,0.443578465,-1.9940537,-1.959256835,0.351069982,0.519341892,0.552637046,0.225238686,3.488888889,3,1.041222752,27c8e56700e485fb6efdd18405ddf999,English,Sad
3.072,2.125,0.388429752,0.796610169,0.238195144,0.126481415,0.225823889,0.222084674,0.126481415,0.20851782,34.12654445,10.54976267,38.66973021,36.85176772,10.54976267,41.53973583,-15.17773012,-15.49029802,1.893109107,-15.15781402,-15.49029802,1.957238458,82.00607263,85.05892256,31.51759831,88.04513388,90.74074074,31.10684034,-15.26504073,-15.43745833,2.467358454,-15.01400898,-15.43745833,2.478065823,0.023889384,0.010059699,0.027753255,0.044287119,0.039582063,0.027541937,0.046444364,0.042917158,0.030047339,5.962996527,5.957481432,2.173553096,229.8914082,232.9380374,41.253849,232.2216503,232.9380374,43.36177875,0.14651795,0.111575979,0.112719087,0.051945418,0.050824291,0.026898458,403.73,363.88,231.8795883,63.54436874,40.0454975,75.73027943,1786.594068,1453.21,1015.757261,163.3280495,104.7394792,155.389369,3642.218475,2671.89,2334.717445,280.92137,305.993519,156.1822832,0.081080175,0.011500903,0.145658544,0.904407038,0.530099183,0.789795746,7.311610394,6.446201614,2.699559023,-18.57909935,-18.1177759,2.533522653,0.264466183,0.685118803,5.210146583,827.8311382,764.2584887,493.5120732,7.639883756,7.94804151,2.755601886,7.73679381,7.94804151,2.340721634,4.947366628,4.647338342,1.799272388,5.16640151,5.208432901,1.712993913,-0.095439628,-0.098797242,0.364072441,-0.099178935,-0.111366011,0.353028701,310.1694915,240,123.4209439,318.2222222,240,105.2116674,233.4702752,230.0568316,40.67421577,263.7288136,240,91.68721765,265.3333333,240,77.50659796,363.7288136,320,126.0801374,353.3333333,320,105.3996722,818.3050847,440,1203.496562,539.1111111,420,313.1063007,21.48212575,21.49782667,2.353527347,21.64544894,21.49782667,2.401412245,1029.989753,950.3379758,581.6562959,875.5131027,844.6233794,306.7475216,-1.285077935,-1.221640911,0.235432486,-1.236018247,-1.218110331,0.149216442,0.710564715,0.732134673,0.158741414,3.531914894,4,1.195118037,2946b467a5813081526d2345cf63551c,English,Neutral
3.925333333,3.925,0.051282051,0.307692308,0.178165043,0.091664983,0.268664777,0.132647199,0.14618192,0.061132323,16.04988254,11.73604308,12.42004859,19.92122988,20.62625072,7.948904777,-18.54306654,-18.05971673,1.325824268,-18.56141012,-17.63019062,1.684305687,52.22816399,45.45454545,16.11717049,44.71326165,45.19387423,5.748707998,-11.09732414,-10.57997059,2.102427098,-10.46071669,-10.56226842,0.9700024,0.001663272,0.001278294,0.001749161,0.004205554,0.003287504,0.003106477,0.003928698,0.003680476,0.001152554,7.177861092,7.087513802,1.615536198,139.4590768,138.4768831,53.40479279,130.2483749,144.5655911,23.30012064,0.353573906,0.363375347,0.086288426,0.23217133,0.19591304,0.086432947,2074.434231,1612.125,2347.366446,269.1504485,229.5824636,156.6797377,3844.448462,2904.815,2572.044166,343.6241566,359.4394378,160.782642,6378.325769,4362.575,4938.412108,406.0303426,411.6567392,129.182742,0.15307606,2.37E-05,0.347166604,0.415017079,0.402718035,0.071878477,5,5,0,-24.59305462,-24.1719356,1.213084068,-1.491501453,-1.54236122,1.057147981,416.0051064,572.7291397,373.7842623,6.312316679,4.89418583,6.692758985,10.42551085,12.10524625,3.964884025,2.835973353,2.958004206,1.07476305,2.417254749,2.378985589,0.823226839,-0.069187427,-0.199919201,0.448152502,-0.150649166,-0.256109963,0.45354518,661.5384615,140,1017.257852,127.5,140,23.75469878,1188.492186,148.9193313,1437.325127,1208.461538,920,1114.531982,992.5,140,1216.737441,2284.615385,2390,2119.036065,1265,200,1506.09239,4731.538462,5520,3227.363868,3277.5,2200,2645.24236,23.51772802,23.11571071,3.198559256,22.9530428,22.41187232,2.098270873,3934.80078,4386.034815,1811.664193,3248.374285,2540.573608,1437.61,-1.140230246,-1.216476829,0.341486445,-1.002083101,-1.040464609,0.310390766,0.465889712,0.465985233,0.170558744,2.625,2,1.060660172,2d78a5e204ceeb2c76d9e189ca90772a,English,Happy
2.218666667,0.925,0,0,0.138438299,0.151822357,0.028459226,NA,NA,NA,11.90972407,12.55745436,1.32660284,NA,NA,NA,-15.90886311,-15.87280812,0.394609248,NA,NA,NA,43.89534884,47.72286822,11.99360345,NA,NA,NA,-10.78069706,-12.81997548,3.272822823,NA,NA,NA,0.000706795,0.000507919,0.000944241,0.003362128,0.002839008,0.001836422,NA,NA,NA,NA,NA,NA,149.8456224,141.3934534,63.25771307,NA,NA,NA,0.352122442,0.333985058,0.086048476,NA,NA,NA,1722.968571,1168.14,1411.872212,346.4617446,364.0936885,124.6911818,3828.368571,3207.73,1842.884676,375.2364337,385.4672177,159.931692,5957.634286,4904.56,3268.51504,288.1541432,268.7364391,158.6769858,0.115748699,5.18E-07,0.318570619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.112567737,0.134095907,3.866399364,NA,NA,NA,2.318997192,1.959671893,1.62136657,NA,NA,NA,-0.001033595,-0.267662356,0.647092111,NA,NA,NA,5805.714286,160,9648.915064,NA,NA,NA,NA,NA,NA,4820,4820,3934.903641,NA,NA,NA,8128.571429,8880,5634.735807,NA,NA,NA,11562.85714,12580,7393.262055,NA,NA,NA,29.09627196,29.98631201,1.70223265,NA,NA,NA,8602.692663,9223.449437,4905.185439,NA,NA,NA,-0.517859307,-0.690576667,0.4362134,NA,NA,NA,NA,NA,NA,NA,NA,NA,2d78a5e204ceeb2c76d9e189ca90772a,English,Neutral
2.389333333,2.375,0,0,0.247615903,0.179896024,0.204222532,NA,NA,NA,12.83473146,11.15748309,4.388526707,NA,NA,NA,-15.58777658,-15.69999613,0.770292905,NA,NA,NA,80.41477005,76.73509286,35.2148471,NA,NA,NA,-13.80924864,-14.18748621,4.685411845,NA,NA,NA,0.002048676,0.00150487,0.001410197,0.002657515,0.002392131,0.001317949,NA,NA,NA,NA,NA,NA,149.0635864,137.2236288,60.89645634,NA,NA,NA,0.468570933,0.483243155,0.14010903,NA,NA,NA,1585.566094,1142.69,1087.777067,360.3558333,360.0760302,136.3134516,3637.002344,3076.465,2291.590509,402.9212424,427.3964133,130.871003,5832.320781,4703.76,3294.722081,422.5052627,406.2373861,109.5357852,0.086042827,3.87E-08,0.277762052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.210492571,-2.285249865,5.336698938,NA,NA,NA,1.704255249,1.627220252,0.682571314,NA,NA,NA,-0.049707898,-0.048630347,0.419509661,NA,NA,NA,1239.375,160,2727.836444,NA,NA,NA,NA,NA,NA,2706.875,2620,2121.784869,NA,NA,NA,6360,7160,3747.966221,NA,NA,NA,10256.5625,11620,4485.922325,NA,NA,NA,26.68900223,27.06887523,1.752419937,NA,NA,NA,7311.849947,7928.424919,2757.651661,NA,NA,NA,-0.911702676,-0.858846579,0.352318143,NA,NA,NA,NA,NA,NA,NA,NA,NA,2d78a5e204ceeb2c76d9e189ca90772a,English,Sad
11.94666667,7.925,0.214285714,0.579545455,0.272031049,0.244245028,0.223834294,0.323843916,0.314791898,0.237145577,93.37306639,105.7302463,45.10564003,109.8982646,113.2934831,38.78261008,-15.61414422,-15.18416983,1.602972655,-15.54981946,-15.04472588,1.735244389,115.6147554,116.1616162,22.46700505,119.2199112,118.1499203,15.35034567,-14.71790147,-14.25457944,3.411314126,-15.07092164,-14.2639341,3.457551314,0.019958809,0.003332305,0.026494469,0.049851318,0.048886838,0.021104745,0.052546809,0.050707147,0.020473757,12.2675391,12.40996754,3.197656704,341.727621,158.4924772,609.437026,167.8833965,147.9733009,51.97954956,0.317254894,0.297503115,0.190236361,0.099945279,0.093576938,0.040911007,771.8094318,544.25,725.9309215,204.612148,168.3795529,137.6889318,1875.297784,1527.895,912.3004832,184.5030058,141.6845032,130.0472903,2904.698864,2476.105,1039.38049,228.9265308,201.0445692,139.2447067,0.05990403,0.000115091,0.165306772,1.311732087,0.378582239,1.716627141,5.168985041,5,0.55391061,-19.73881077,-21.06806277,4.302199457,9.733824135,9.758335792,3.393644812,1494.140931,1516.025542,742.8002311,3.506094746,4.935662192,4.786742756,6.820814719,6.406749627,2.173471817,11.47490727,11.37046957,3.889636411,12.3769372,12.52591237,3.61597036,-0.120997026,-0.150547675,0.347930063,-0.096056899,-0.068922859,0.329222187,1183.409091,440,1953.485902,386.1386139,380,199.2333822,144.323627,127.1214,42.20649998,1169.659091,460,1654.414665,396.6336634,380,128.7499688,2093.75,1150,2173.760304,1251.881188,820,958.541301,3833.522727,2630,2884.942798,2901.188119,2380,1817.217261,23.39778482,23.00954355,2.814691565,21.80797865,21.75441431,1.974723333,3100.571995,2391.59796,1955.498609,2439.867099,2248.9497,837.6516171,-2.259094219,-2.262076894,0.309487304,-2.259101929,-2.29476958,0.293212198,0.179625059,0,0.274029912,2.441860465,2,0.589686179,31c748e898025359723e7a35cf629d33,English,Neutral
134.4853333,131.725,0.095202678,0.212712921,0.187953266,0.158447188,0.140993511,0.19822601,0.17996294,0.141241371,81.08397875,103.5621686,47.79090806,96.58544908,109.9153245,42.44069539,-16.81536148,-16.83794713,1.693953322,-16.32493057,-16.38799561,1.961428382,81.92671508,84.25451774,29.33245084,102.4934775,107.7014995,26.2716392,-14.61484301,-14.64237083,2.716609699,-15.55356329,-15.07539919,3.174750115,0.040717993,0.034650711,0.039175281,0.075489077,0.06756875,0.031816367,0.076166154,0.069629372,0.032683218,12.83406114,13.85343915,5.146479817,332.4100659,220.9396971,539.0832246,204.1001326,209.24748,114.036503,0.269319869,0.231683266,0.153719541,0.109355078,0.093201728,0.059129197,872.1591525,579.02,852.4444373,234.2408678,191.556918,137.753189,1930.960316,1554.73,1077.748119,214.7668639,176.6354937,134.3237323,2913.859167,2385.4,1248.619026,248.7935744,215.5693227,138.6655535,0.102515969,0.004992823,0.21014327,0.368892387,0.151053943,0.872911278,5.282355246,5,0.493355339,-23.76404378,-24.97121397,3.599441774,12.23735764,12.80135765,3.499709011,2187.904881,1988.460648,1257.017308,1.147629182,0.937347188,3.567005376,5.945234213,5.703064557,2.449627069,18.90288274,18.11760247,5.924053037,20.06466412,19.08303363,5.56543004,-0.118046556,-0.150411461,0.374248809,-0.124636229,-0.122453622,0.330606252,1054.956377,480,1609.86588,473.0538922,460,222.5624746,162.8744374,135.5216185,108.7902442,1089.115081,520,1478.988839,511.0179641,480,203.8586807,2096.909015,1440,1865.590705,1316.207585,1240,531.7991997,4095.729123,3380,2399.660486,3129.540918,3200,1162.346243,25.1727307,25.22904861,2.466814288,22.88095267,23.25648572,2.602566743,3278.187512,2699.847229,1714.034314,2452.332952,2401.615781,608.3280807,-1.794564248,-1.71980887,0.475360229,-2.210253124,-2.304092512,0.456298259,0.312198947,0,0.370913757,2.56,2,0.825302671,31c748e898025359723e7a35cf629d33,English,Sad
