duration,duration_noSilence,voiced,voiced_noSilence,amEnvDep_mean,amEnvDep_median,amEnvDep_sd,amEnvDepVoiced_mean,amEnvDepVoiced_median,amEnvDepVoiced_sd,amEnvFreq_mean,amEnvFreq_median,amEnvFreq_sd,amEnvFreqVoiced_mean,amEnvFreqVoiced_median,amEnvFreqVoiced_sd,amEnvPurity_mean,amEnvPurity_median,amEnvPurity_sd,amEnvPurityVoiced_mean,amEnvPurityVoiced_median,amEnvPurityVoiced_sd,amMsFreq_mean,amMsFreq_median,amMsFreq_sd,amMsFreqVoiced_mean,amMsFreqVoiced_median,amMsFreqVoiced_sd,amMsPurity_mean,amMsPurity_median,amMsPurity_sd,amMsPurityVoiced_mean,amMsPurityVoiced_median,amMsPurityVoiced_sd,ampl_mean,ampl_median,ampl_sd,ampl_noSilence_mean,ampl_noSilence_median,ampl_noSilence_sd,amplVoiced_mean,amplVoiced_median,amplVoiced_sd,CPP_mean,CPP_median,CPP_sd,dom_mean,dom_median,dom_sd,domVoiced_mean,domVoiced_median,domVoiced_sd,entropy_mean,entropy_median,entropy_sd,entropyVoiced_mean,entropyVoiced_median,entropyVoiced_sd,f1_freq_mean,f1_freq_median,f1_freq_sd,f1_width_mean,f1_width_median,f1_width_sd,f2_freq_mean,f2_freq_median,f2_freq_sd,f2_width_mean,f2_width_median,f2_width_sd,f3_freq_mean,f3_freq_median,f3_freq_sd,f3_width_mean,f3_width_median,f3_width_sd,flux_mean,flux_median,flux_sd,fmDep_mean,fmDep_median,fmDep_sd,fmFreq_mean,fmFreq_median,fmFreq_sd,fmPurity_mean,fmPurity_median,fmPurity_sd,harmEnergy_mean,harmEnergy_median,harmEnergy_sd,harmHeight_mean,harmHeight_median,harmHeight_sd,HNR_mean,HNR_median,HNR_sd,HNRVoiced_mean,HNRVoiced_median,HNRVoiced_sd,loudness_mean,loudness_median,loudness_sd,loudnessVoiced_mean,loudnessVoiced_median,loudnessVoiced_sd,novelty_mean,novelty_median,novelty_sd,noveltyVoiced_mean,noveltyVoiced_median,noveltyVoiced_sd,peakFreq_mean,peakFreq_median,peakFreq_sd,peakFreqVoiced_mean,peakFreqVoiced_median,peakFreqVoiced_sd,pitch_mean,pitch_median,pitch_sd,quartile25_mean,quartile25_median,quartile25_sd,quartile25Voiced_mean,quartile25Voiced_median,quartile25Voiced_sd,quartile50_mean,quartile50_median,quartile50_sd,quartile50Voiced_mean,quartile50Voiced_median,quartile50Voiced_sd,quartile75_mean,quartile75_median,quartile75_sd,quartile75Voiced_mean,quartile75Voiced_median,quartile75Voiced_sd,roughness_mean,roughness_median,roughness_sd,roughnessVoiced_mean,roughnessVoiced_median,roughnessVoiced_sd,specCentroid_mean,specCentroid_median,specCentroid_sd,specCentroidVoiced_mean,specCentroidVoiced_median,specCentroidVoiced_sd,specSlope_mean,specSlope_median,specSlope_sd,specSlopeVoiced_mean,specSlopeVoiced_median,specSlopeVoiced_sd,subDep_mean,subDep_median,subDep_sd,subRatio_mean,subRatio_median,subRatio_sd,ID,nationality,emotion
43.52,41.925,0.242093157,0.662992126,0.133452007,0.105099546,0.115515142,0.132462387,0.111168593,0.110668688,67.72005428,84.13155651,41.6380364,70.18591954,87.14863126,41.15557473,-17.94134605,-17.83179298,1.75193151,-18.08800391,-18.02397567,1.725439477,92.85389582,95.95959596,22.56601347,96.12367144,97.354442,22.63655591,-14.43004421,-14.28002253,2.803202765,-14.90741134,-14.64619606,2.983720687,0.038133228,0.026692281,0.041821544,0.080617765,0.066976059,0.040787667,0.078528667,0.064211355,0.042465656,8.011640465,6.729568172,4.240468231,264.6705108,202.1279779,230.4893009,237.0270969,200.9965685,137.581862,0.132408851,0.066144512,0.165755177,0.043837459,0.039599294,0.024126221,524.1875276,525.46,204.9175821,75.42899207,51.35672735,81.02011431,1527.011701,1482.94,426.4124574,77.88269288,54.32148862,78.52748625,2550.985732,2521.05,429.4827365,181.8287334,146.0985656,124.3726144,0.090169077,0.007715124,0.188858724,0.726612729,0.4581181,0.781577866,5.388227323,5,0.673802536,-20.88977892,-21.28046,3.898105911,7.446898613,8.001858677,6.019328478,1342.29711,930.209758,1645.405062,4.614037547,4.502107724,3.121925911,6.300734938,5.977870098,2.429885242,17.61364394,16.2601979,6.431677668,17.06295987,15.84003487,6.454814064,-0.108070171,-0.143634793,0.372691529,-0.123792443,-0.159018566,0.361565262,500.3149606,500,375.6885099,448.5432099,500,226.1890501,237.5377733,197.6464793,147.3931627,500.8503937,500,323.3478774,439.0123457,460,164.6929707,1036.062992,820,689.2561682,863.8024691,680,579.3307512,1916.220472,1800,1008.498688,1710.469136,1560,893.7234533,22.08834547,22.22974336,2.090497796,21.44992791,21.73713913,1.922116554,1582.688152,1487.094839,618.5000174,1443.823453,1395.227176,486.847391,-2.173797039,-2.17535934,0.374100155,-2.11186589,-2.126183845,0.378037577,0.545463542,0.637879454,0.313568431,2.803370787,2,1.090594818,024e3d98f1fe83aa4b368edd5af62e00,Danish,Happy
5.888,4.65,0.273504274,0.646464646,0.230635984,0.179140191,0.187086397,0.259650268,0.237616305,0.170894723,76.99147496,101.6476017,42.2204704,84.16858634,103.801493,39.32724609,-16.48126379,-16.34633021,1.777560797,-16.36969929,-16.4234845,1.545377469,93.51568312,100.8150171,19.49400794,94.84937898,101.010101,18.31979819,-14.51879654,-14.59321144,2.273148027,-15.07143749,-14.8971601,2.287660777,0.035308918,0.024864881,0.039201199,0.070329265,0.0560173,0.037216955,0.070236742,0.055838136,0.037218418,8.472480392,7.190288657,3.698264288,169.6287632,200.2481763,44.84535406,176.1724877,202.2484053,43.57862163,0.1428945,0.084165102,0.151864704,0.050495059,0.04810898,0.030029714,519.4475758,415.05,385.6729872,143.8795014,94.54182834,121.7409709,1623.038485,1635.83,520.5993532,154.7501925,105.4403007,134.2635783,2778.69596,2627.05,686.984958,240.698238,201.8311892,119.2932749,0.089639662,0.009671506,0.168650964,0.80310797,0.54769512,0.605431164,5.453495734,5,0.662807959,-20.34937098,-19.96405543,3.569867012,4.972629856,5.746162868,5.531870801,957.6712351,737.3308425,856.19722,5.855463526,5.849195347,3.969720254,7.663235676,7.835859876,3.117307823,13.75496235,11.40328992,6.441261212,13.13443086,10.19720555,6.620145664,-0.108237266,-0.186032288,0.357117605,-0.161418213,-0.230972046,0.329873354,391.5151515,220,427.838334,319.375,220,209.9121131,162.0585567,157.3058941,41.0068418,443.2323232,260,619.925651,291.25,220,163.1777685,863.030303,520,988.4449285,666.5625,400,653.2269562,1767.272727,1460,1557.448082,1346.5625,1020,1028.56383,22.57808302,22.22175531,1.986480515,21.79072802,21.90600644,1.520093507,1583.168253,1360.077118,1027.887725,1274.241881,1251.069341,598.2982367,-2.169209132,-2.275426349,0.383514145,-2.083404278,-2.092813843,0.39728818,0.485309595,0.627048362,0.324779632,2.64,2,0.920514497,024e3d98f1fe83aa4b368edd5af62e00,Danish,Neutral
40.704,39.125,0.242778119,0.643322476,0.13827502,0.087608059,0.156225126,0.145095465,0.082830818,0.169418358,64.5267535,72.81076029,41.64602955,69.14027567,87.83677941,40.72452216,-17.55826112,-17.49965392,1.810710193,-17.43072494,-17.42116821,1.816333541,88.41460374,97.00324276,24.08197265,92.39909397,100.7678259,22.38337459,-13.99427867,-14.14062603,2.416333145,-14.47024188,-14.39378362,2.261299996,0.03897729,0.029554952,0.041650354,0.079352241,0.065138218,0.041121446,0.083318225,0.071517369,0.042072381,8.031770337,6.716148198,4.025794501,247.1256882,203.5168715,262.4542354,228.4116973,203.7916615,140.2349982,0.150719397,0.066628294,0.189406592,0.043116276,0.040544027,0.019250367,504.38,446.19,272.7934704,66.60834995,43.62776024,71.73819807,1564.660016,1539.935,409.4110981,97.12621376,62.35174306,101.057376,2571.473322,2499.1,531.1141715,198.8491697,160.8064731,131.3612508,0.093683653,0.004785791,0.199235027,0.878222426,0.433816176,1.141361323,5.452303305,5,0.70677878,-20.58255912,-20.67149023,4.140673559,6.565524738,7.375774074,6.007328517,1229.052588,779.6217531,1584.354082,5.05226809,5.278668165,3.201994579,6.672942132,6.561875493,2.274549447,16.67547579,15.45106673,6.331320029,16.88992824,16.26073803,6.322610668,-0.114309977,-0.169397221,0.380788771,-0.132743642,-0.213416201,0.376138651,541.9218241,420,632.0495833,425.4358974,420,232.7198957,231.1730295,201.9268197,143.6018613,519.1856678,410,595.3424349,393.2307692,380,169.8247186,992.1172638,600,976.509287,718.3076923,520,500.5890696,1890.456026,1640,1399.050991,1514.923077,1460,821.8693779,22.36563543,22.27159201,2.1609477,21.71594895,21.62608568,1.925745189,1577.297462,1384.883063,943.1028847,1309.077681,1244.299193,435.3063432,-2.098295113,-2.122892027,0.377583804,-2.01480632,-2.02279762,0.377357286,0.52738321,0.643952991,0.326155062,2.748447205,2,1.039146882,024e3d98f1fe83aa4b368edd5af62e00,Danish,Sad
1.393197279,1.374399093,0,0,0.498151728,0.424959897,0.192600625,NA,NA,NA,61.49660004,68.83080114,32.17967512,NA,NA,NA,-17.31843547,-17.39683566,0.408169057,NA,NA,NA,63.21779601,62.73100758,9.790809093,NA,NA,NA,-9.152050168,-9.302801782,1.273513731,NA,NA,NA,1.10E-05,1.09E-05,1.40E-06,1.10E-05,1.09E-05,1.40E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818244161,0.820371716,0.013001093,NA,NA,NA,3268.757222,2570.685,2827.921773,479.3099041,503.5066057,90.54593116,7211.411698,5548.3,5092.679029,509.9397682,525.4722277,71.66312574,9250.276042,9159.215,5050.920606,505.1332305,528.1847753,76.66686165,0.148141299,0.000954577,0.309155978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012415491,0.011946365,0.004279866,NA,NA,NA,-0.024061263,-0.117353444,0.421796791,NA,NA,NA,560.6246219,290.1315789,968.9901347,NA,NA,NA,NA,NA,NA,4055.172414,4041.833031,336.1218868,NA,NA,NA,9754.423775,9864.473684,553.0310875,NA,NA,NA,15404.76407,15416.99183,367.1360735,NA,NA,NA,28.04319609,27.93659906,0.63506779,NA,NA,NA,9931.024013,9944.243185,317.9844448,NA,NA,NA,-0.208703772,-0.202434083,0.062885057,NA,NA,NA,NA,NA,NA,NA,NA,NA,02afb46a48604bb1466c253b9f532975,Danish,Neutral
15.44533333,13.575,0.457792208,0.844311377,0.296811229,0.294634616,0.143105666,0.302220598,0.29817138,0.138735062,60.15970831,16.40707142,70.45578807,61.65054007,17.33506754,71.34200852,-16.92698124,-16.79281781,1.693756875,-17.01115517,-16.88103283,1.749875844,80.89683897,76.98940626,31.46789198,84.49568859,83.02537571,31.40283183,-19.4183711,-19.94258055,4.779507998,-20.47625848,-20.90344806,4.156212836,0.043295825,0.032505264,0.043714237,0.074343951,0.069463039,0.036918138,0.077606037,0.072515105,0.037775345,13.81596601,14.13228421,4.441024499,265.0037535,215.9911724,273.6247753,225.0170013,213.1160923,94.70519642,0.078248349,0.050763869,0.065128963,0.032995326,0.02750637,0.023941161,594.9573653,493.66,367.0545809,125.6686633,102.3250674,93.80265123,1850.332156,1833.075,774.3815506,200.1774657,166.1542345,134.1282183,3094.31509,3065.375,879.6374883,207.2715144,152.8807579,154.8174128,0.072203825,0.0143741,0.132065013,0.874129831,0.364933067,1.778245011,5.377962596,5,0.689892402,-21.82453426,-22.4650287,3.935190136,5.219207383,5.40142269,3.649508664,2772.003067,2567.099942,1486.096851,9.613275531,11.19826874,5.011157321,11.32957698,11.94652752,3.148035797,11.29704471,11.03419036,4.575179718,11.75167089,11.47064865,4.445446751,-0.133037797,-0.173605977,0.342077413,-0.157262028,-0.193757843,0.320219851,654.7305389,400,1121.019921,411.3571429,400,335.4400324,222.4531265,211.6617417,74.85807254,591.257485,380,968.9994714,362.9285714,360,254.9720525,926.0479042,540,1224.130976,621.5,480,433.8829021,1880.538922,1590,1626.567992,1507,1390,959.0599489,19.23412113,18.83287855,2.735706144,18.59001813,18.48716396,2.145497588,1517.642215,1289.373259,1171.202295,1228.810659,1236.665043,515.2361055,-2.307136382,-2.239605016,0.686584252,-2.224023117,-2.152536995,0.644112924,0.203473744,0.070246653,0.249445456,3.637583893,4,1.209281477,0bb83e315ab746de6a8aaa4efca3efea,Danish,Happy
6.912,5.075,0.352727273,0.829059829,0.293828685,0.324361627,0.154096248,0.294114829,0.322020836,0.158118216,27.77215659,12.58642373,45.90912732,27.94971237,12.60374092,48.73998515,-16.21856817,-16.20622226,1.527692204,-16.14316543,-16.14820658,1.495631379,77.64014844,77.34277077,17.08664319,77.55721085,75.75757576,16.90733382,-18.86424293,-19.00278389,4.191252134,-19.69831289,-20.00915209,4.093846253,0.039518604,0.020942811,0.049293229,0.084802687,0.070586067,0.04504212,0.088488656,0.077478258,0.047185618,12.96757792,12.60888403,4.929711239,259.32496,224.2067703,199.660897,225.2606695,218.8473213,26.14281699,0.095528512,0.061883855,0.075434168,0.031567221,0.026075425,0.023587663,522.4693162,461.68,261.8303009,122.2086908,96.52824951,93.44613058,1786.847179,1751.25,797.4849654,229.0726772,209.6052403,139.2882319,3201.555726,3160.75,1112.737802,234.3959733,211.0750414,135.8290492,0.067547638,0.004192793,0.12650096,0.369090744,0.321620639,0.29829726,5.899485353,5.860393453,0.78151177,-22.39863906,-22.47779014,2.498455956,4.301837041,4.60950552,4.202029188,2507.875706,2171.907308,1672.73998,9.340757887,9.574058889,4.422348631,10.87073,11.34875641,3.224948102,13.06717031,11.28164004,6.242729578,13.79730868,12.78266129,6.388783019,-0.091330969,-0.169854653,0.381366715,-0.120297848,-0.186931419,0.36991268,476.4102564,300,769.3777844,356.344086,360,140.5562316,223.4978316,217.9967114,24.56762668,448.034188,300,639.2833263,339.7849462,300,136.8748913,743.5897436,480,920.7740948,570.5376344,460,319.1509306,1655.213675,1400,1485.937878,1436.55914,860,1055.378043,19.66811293,19.21182333,2.858769186,18.88012719,18.85558809,2.386385319,1358.192523,1185.762368,951.1759948,1185.894887,1090.972058,534.0563764,-2.334240466,-2.382191349,0.720522363,-2.269565185,-2.226192434,0.715689403,0.255875276,0.102612214,0.289603562,3.629032258,4,1.231204541,0bb83e315ab746de6a8aaa4efca3efea,Danish,Neutral
12.88533333,10.75,0.394941634,0.852941176,0.316519057,0.27815073,0.209603026,0.315805381,0.278693246,0.207533025,107.7739539,116.1884397,80.33699955,109.5935365,119.2671259,80.14430721,-16.41785241,-16.34384448,1.984556244,-16.37622024,-16.30036337,2.056304138,86.70728097,83.75174749,30.46661887,89.0141032,86.74463938,31.16218804,-19.72463201,-20.522756,4.034686038,-20.53146855,-21.00520615,3.536358088,0.041939574,0.025837645,0.046758379,0.083205349,0.073897599,0.038170808,0.08487375,0.074491956,0.037909226,14.19876172,14.62883569,4.412675998,235.579857,203.2674565,227.4217955,207.6123597,202.2757186,23.02069278,0.085389034,0.058582642,0.065463291,0.033175092,0.029210144,0.021831035,557.5530252,486.56,392.4535535,150.4109991,125.3746782,103.4995366,1803.213235,1729.04,771.424341,199.4849471,167.4042828,130.207464,3064.530294,3080.335,923.1469709,236.6267234,208.419738,128.5019507,0.064151028,0.006110618,0.118303815,0.332807139,0.162044336,0.599888051,5.681149851,5.237027878,0.95054292,-23.08133871,-23.57601006,3.123260134,5.871278213,6.270784963,3.918896069,3065.872906,2909.344888,1575.896818,9.266229698,10.73123544,4.641358505,10.75718895,11.30255556,2.955232779,13.29889236,12.89377493,5.378894166,13.53428491,13.03687091,5.107964101,-0.138504803,-0.21148903,0.346522106,-0.163796873,-0.235527755,0.325305122,515.210084,380,895.5787783,359.2039801,380,181.6792866,205.9240573,200.2853726,21.84479268,504.2857143,380,751.9090431,361.4925373,360,140.5409591,964.7058824,600,1040.579864,765.1741294,560,556.8887632,2010.92437,1770,1390.699057,1811.641791,1700,1079.206093,19.41852751,18.95281396,2.505524343,18.80811745,18.60939266,1.901841159,1541.354995,1432.733664,939.6413809,1376.811854,1371.96955,537.2892817,-2.37528851,-2.341443748,0.684432326,-2.307130429,-2.233804934,0.660433196,0.187360577,0.022083757,0.2532739,3.359223301,4,1.110152515,0bb83e315ab746de6a8aaa4efca3efea,Danish,Sad
7.89478458,3.948231293,0.321656051,0.855932203,0.239144153,0.251726326,0.166770728,0.252088414,0.285748899,0.169163663,107.8447165,112.742429,24.58054148,107.6865788,113.1158252,25.7137117,-14.79944484,-14.32202715,1.83011852,-14.77240381,-14.21008427,1.833154309,106.0732346,106.3016529,17.31464967,108.6020252,107.6116231,14.54424169,-13.73060306,-12.92176709,3.155318623,-13.89513797,-12.93319226,3.27968608,0.039898498,0.008587543,0.053956681,0.097396035,0.08569944,0.047453751,0.102746749,0.089041751,0.048641317,12.26276504,12.23292645,2.455398138,194.3520257,128.1855624,95.35945084,190.4777112,126.5631746,91.76570688,0.34575126,0.317526408,0.263462494,0.086507127,0.052035563,0.086410961,488.2725424,420.72,323.9013718,115.4519495,67.10893208,110.4393798,1718.367119,1649.53,408.3168773,156.0898487,128.4896806,109.3600729,2680.997288,2537.095,562.9460415,246.0222582,232.111272,148.9255674,0.047223069,0.000385633,0.10705249,0.235752926,0.17564557,0.165502066,5.527552865,5.239458828,0.682611554,-22.86819193,-22.97537803,1.552587561,10.00010778,10.27692947,4.467463916,1307.708774,1020.676487,911.4075817,7.15079283,7.424147741,2.653861764,7.714463419,7.618995151,2.105341321,16.80824911,16.46127582,6.306796234,17.64844376,16.86674791,6.225011364,-0.131930207,-0.159474687,0.297401566,-0.158332355,-0.186550163,0.281236051,327.6062014,340.154265,171.2035601,322.3243967,340.154265,180.1239281,116.6968601,115.5413494,7.847787587,384.5811929,340.154265,398.4086874,393.0495409,340.154265,428.9936609,840.8898305,510.2313975,948.2497182,865.7391601,520.2359347,973.4528465,2338.51818,1810.821234,2180.256352,2409.013315,1840.834846,2299.376248,22.06876305,22.08201419,2.125032629,21.8723382,21.51537594,2.166424271,1846.444677,1391.629812,1279.07164,1876.573132,1384.625085,1320.138838,-1.95633563,-1.983850123,0.363575477,-1.95306615,-1.985471792,0.360309263,0.094910854,0,0.167047753,2.454545455,2,0.505649897,13912bf2fb4fb8432ff2e113a0dcae48,Danish,Happy
7.337505669,6.097256236,0.414383562,0.806666667,0.282282532,0.257388176,0.19033846,0.296338121,0.266836823,0.201699529,74.88831163,80.77249008,49.47750807,84.24419356,103.4366607,46.21619855,-16.14174089,-15.99527402,1.716244419,-16.14152565,-16.08892532,1.795420603,107.9196321,120.3743148,30.35360225,113.1702862,125.8885718,26.59304935,-15.33173616,-15.52130769,2.689609109,-15.64041198,-15.58051039,1.897226748,0.030767155,0.017395448,0.031745165,0.054968342,0.050292746,0.02707174,0.060522278,0.056994683,0.026580491,12.81746903,13.15814451,3.946942648,261.9811476,126.4225638,539.1430576,162.8806713,125.612356,105.4975224,0.138909381,0.05281822,0.17547013,0.037692308,0.032500742,0.023178003,615.2806667,458.265,482.4326675,121.1796301,74.22596868,120.9720308,1665.3208,1391.965,749.8102509,177.7368631,145.6254766,128.1664072,2568.825933,2455.54,744.6968369,164.2001158,127.1749187,131.5504778,0.086436249,0.008241945,0.190010717,0.360575757,0.325378035,0.261849657,6.401005037,5.790654323,1.394583689,-23.6608426,-23.7365311,1.937622377,7.991146287,8.902269937,4.272210206,1630.284868,1408.379525,984.6021647,6.847370196,7.738553272,3.664392635,8.214151767,8.321270658,1.98955891,8.262720581,8.577774985,3.298395315,8.988849142,9.280147043,3.176672331,-0.107093761,-0.164510415,0.358323212,-0.125264614,-0.187969557,0.340938552,731.9319419,360.1633394,1276.908292,336.3508872,360.1633394,167.055083,147.5878774,124.4230963,95.57166624,808.0998185,340.154265,1329.215734,319.3183693,320.1451906,120.2320816,1140.383848,500.2268603,1701.565809,510.4794438,440.199637,203.8261811,2534.88294,1420.644283,3168.208214,1390.878718,1360.61706,578.4498236,21.39521921,20.99180692,2.405801149,20.80552358,20.83561218,1.428171277,2002.086917,1237.765444,2141.125926,1204.767939,1182.924044,351.1483682,-1.751911905,-1.789687208,0.38160897,-1.8251971,-1.824063292,0.304178954,0.156928352,0,0.226850771,2.632653061,3,0.601867841,13912bf2fb4fb8432ff2e113a0dcae48,Danish,Neutral
9.473741497,8.870997732,0.383597884,0.810055866,0.384773736,0.383655591,0.231086548,0.420687596,0.412175419,0.22306293,93.62566175,112.3150109,40.46666817,101.7622179,114.0050848,35.13120732,-14.03246702,-14.2612155,2.316687581,-13.50375314,-13.93210116,1.962392499,112.8063852,116.4256198,20.13924706,116.454238,117.9562992,11.21786094,-15.58922286,-15.84807258,3.252169453,-15.94637654,-16.19682928,2.766411787,0.036856458,0.015886612,0.043843899,0.072984658,0.066181012,0.039313679,0.082055789,0.0809048,0.037733618,12.24713164,12.81107098,3.4329968,214.4894087,125.8595947,367.0084578,165.5384701,125.6124897,77.63761295,0.212956877,0.094741977,0.233791198,0.070563923,0.054576788,0.063140168,646.1478771,480.99,465.3884739,153.9966037,129.6262377,114.6095424,1725.87486,1453.76,689.0898337,154.7398426,121.1371387,113.1028075,2763.280726,2413.53,765.6357674,220.9044156,190.7238494,127.3147889,0.05914957,0.003060486,0.134292494,1.501404783,0.331378659,2.595874607,5.976718129,5.619932692,1.052314015,-20.26804327,-20.35804246,4.682352719,7.904579929,7.946148637,3.843193113,1759.776707,1628.92498,1400.462276,6.801884152,7.800598708,3.626185201,8.100749912,8.62408484,2.401503723,9.605404124,9.819551454,3.996248103,10.47387679,10.95029586,3.814843339,-0.118279119,-0.186505486,0.354777628,-0.116574046,-0.179153511,0.341975922,604.9670989,320.1451906,1194.101175,313.8923548,320.1451906,416.8186588,127.4165303,122.1375953,41.97833199,739.1061453,340.154265,1270.652188,377.8102314,320.1451906,589.6394668,1279.574719,520.2359347,1752.909935,780.353902,500.2268603,954.5524223,2546.182664,1580.716878,2677.315545,1952.274274,1480.671506,2057.666491,21.7511938,21.45833695,2.893173019,20.96939205,20.96540199,2.048251973,2287.695838,1748.250712,1760.665949,1875.56704,1686.771786,1225.857202,-1.684956083,-1.670097713,0.390566835,-1.621668209,-1.625824085,0.341412377,0.129600368,0,0.226055699,2.58490566,3,0.691541263,13912bf2fb4fb8432ff2e113a0dcae48,Danish,Sad
