duration,duration_noSilence,voiced,voiced_noSilence,amEnvDep_mean,amEnvDep_median,amEnvDep_sd,amEnvDepVoiced_mean,amEnvDepVoiced_median,amEnvDepVoiced_sd,amEnvFreq_mean,amEnvFreq_median,amEnvFreq_sd,amEnvFreqVoiced_mean,amEnvFreqVoiced_median,amEnvFreqVoiced_sd,amEnvPurity_mean,amEnvPurity_median,amEnvPurity_sd,amEnvPurityVoiced_mean,amEnvPurityVoiced_median,amEnvPurityVoiced_sd,amMsFreq_mean,amMsFreq_median,amMsFreq_sd,amMsFreqVoiced_mean,amMsFreqVoiced_median,amMsFreqVoiced_sd,amMsPurity_mean,amMsPurity_median,amMsPurity_sd,amMsPurityVoiced_mean,amMsPurityVoiced_median,amMsPurityVoiced_sd,ampl_mean,ampl_median,ampl_sd,ampl_noSilence_mean,ampl_noSilence_median,ampl_noSilence_sd,amplVoiced_mean,amplVoiced_median,amplVoiced_sd,CPP_mean,CPP_median,CPP_sd,dom_mean,dom_median,dom_sd,domVoiced_mean,domVoiced_median,domVoiced_sd,entropy_mean,entropy_median,entropy_sd,entropyVoiced_mean,entropyVoiced_median,entropyVoiced_sd,f1_freq_mean,f1_freq_median,f1_freq_sd,f1_width_mean,f1_width_median,f1_width_sd,f2_freq_mean,f2_freq_median,f2_freq_sd,f2_width_mean,f2_width_median,f2_width_sd,f3_freq_mean,f3_freq_median,f3_freq_sd,f3_width_mean,f3_width_median,f3_width_sd,flux_mean,flux_median,flux_sd,fmDep_mean,fmDep_median,fmDep_sd,fmFreq_mean,fmFreq_median,fmFreq_sd,fmPurity_mean,fmPurity_median,fmPurity_sd,harmEnergy_mean,harmEnergy_median,harmEnergy_sd,harmHeight_mean,harmHeight_median,harmHeight_sd,HNR_mean,HNR_median,HNR_sd,HNRVoiced_mean,HNRVoiced_median,HNRVoiced_sd,loudness_mean,loudness_median,loudness_sd,loudnessVoiced_mean,loudnessVoiced_median,loudnessVoiced_sd,novelty_mean,novelty_median,novelty_sd,noveltyVoiced_mean,noveltyVoiced_median,noveltyVoiced_sd,peakFreq_mean,peakFreq_median,peakFreq_sd,peakFreqVoiced_mean,peakFreqVoiced_median,peakFreqVoiced_sd,pitch_mean,pitch_median,pitch_sd,quartile25_mean,quartile25_median,quartile25_sd,quartile25Voiced_mean,quartile25Voiced_median,quartile25Voiced_sd,quartile50_mean,quartile50_median,quartile50_sd,quartile50Voiced_mean,quartile50Voiced_median,quartile50Voiced_sd,quartile75_mean,quartile75_median,quartile75_sd,quartile75Voiced_mean,quartile75Voiced_median,quartile75Voiced_sd,roughness_mean,roughness_median,roughness_sd,roughnessVoiced_mean,roughnessVoiced_median,roughnessVoiced_sd,specCentroid_mean,specCentroid_median,specCentroid_sd,specCentroidVoiced_mean,specCentroidVoiced_median,specCentroidVoiced_sd,specSlope_mean,specSlope_median,specSlope_sd,specSlopeVoiced_mean,specSlopeVoiced_median,specSlopeVoiced_sd,subDep_mean,subDep_median,subDep_sd,subRatio_mean,subRatio_median,subRatio_sd,ID,nationality,emotion
26.624,24.075,0.450611477,0.928294574,0.134975737,0.0985216,0.140600722,0.130431045,0.096299339,0.13778652,108.8170935,117.428505,32.85618563,110.9936688,117.57642,30.11917407,-16.25675451,-16.22046296,2.267523914,-16.14331319,-16.18816712,2.171720707,110.6905434,116.1616162,22.37720535,113.3002534,116.1616162,19.8845496,-14.14511649,-14.00624617,1.8591033,-14.17445131,-14.04413892,1.845369853,0.044663987,0.038238455,0.053956341,0.081662122,0.065879009,0.056293839,0.082863598,0.066468159,0.058113096,14.61836632,15.44502598,4.191404953,187.1893221,166.2608976,68.07914581,185.7856728,155.1669972,69.13322756,0.136324643,0.059129437,0.13951301,0.043876716,0.040052304,0.02463657,445.9289922,422.02,183.2947093,73.31886159,58.18982012,62.53107147,1671.264186,1685.23,504.3551001,207.331293,171.0258016,138.9617813,2842.993372,2658.33,712.1736089,232.5473435,200.6926919,144.4407644,0.062685199,0.005222149,0.144793412,0.318839349,0.185771463,0.453845699,5.570085648,5.159760124,0.928722983,-22.6824722,-23.36624022,3.364848341,9.761244723,10.28400912,3.255339633,1764.260163,1424.446277,1237.268629,8.392874913,9.093862378,2.262994225,8.813030833,9.246126025,1.617676948,12.8662344,11.92768992,4.767463973,13.05195546,12.07583357,4.867722992,-0.139089422,-0.179908893,0.312513587,-0.155433964,-0.189339518,0.291482041,371.3178295,300,364.2710606,342.5847458,280,127.5245833,132.0737058,123.4320224,34.66536023,318.3333333,260,398.9008361,281.059322,260,58.3690277,486.6666667,400,563.8733361,423.7711864,400,192.6245553,931.2790698,600,997.6893263,824.0677966,600,665.3003884,21.2210561,20.98870491,1.719119166,21.11462686,20.93379334,1.620787259,1118.817789,1017.537452,638.0980986,1045.908625,992.7554902,342.9272709,-1.789022581,-1.811058021,0.323793565,-1.782761687,-1.793874538,0.3232754,0.127092063,0,0.251667444,2.507246377,2,0.618998211,35751370f8d73b1209971be9ada47ac9,Spanish,Happy
10.24,5.925,0.321078431,0.661616162,0.205669719,0.142960809,0.207082775,0.205323191,0.128108933,0.212440557,104.7104612,117.2708477,33.99552135,114.8877095,119.6489144,21.74843481,-15.00568348,-15.00840446,1.368016652,-14.5980852,-14.42300997,1.197696333,89.67514487,99.80641799,34.20683709,99.74150883,110.9249746,29.63349903,-13.71100792,-13.937571,2.53291669,-14.11989183,-14.32202154,2.126843637,0.027184281,0.010910052,0.032503207,0.054383546,0.051649535,0.026992853,0.064468128,0.062502094,0.025721338,12.77598326,13.20583808,4.092820364,198.5891611,211.2845664,125.5734168,179.7386363,142.6997089,59.28631625,0.172833798,0.127298445,0.143826446,0.044038573,0.036063114,0.039593653,496.2437879,450.26,305.76507,80.84590036,52.97763703,78.60364697,1738.568182,1660.73,564.2437797,206.1859572,171.1036031,137.8888317,3032.905152,2871.94,813.6854531,285.746602,253.1481013,140.6809891,0.072000285,0.005726235,0.138626093,1.337641064,0.711735018,1.525004998,5.398284047,5,0.704521721,-18.72762946,-18.39916367,3.289264481,10.21026671,10.18735803,2.977847187,1492.256292,1121.886944,1148.345831,5.960792082,6.111550248,3.107528019,7.500480169,7.949312315,2.098185217,7.086530592,7.00831652,2.616398228,7.999363052,8.059379489,2.445082978,-0.086710946,-0.172039881,0.386137461,-0.131471064,-0.198413019,0.348730664,605.7575758,380,999.89298,451.8461538,380,510.5017818,142.3492832,124.1371779,50.85470152,542.5252525,340,890.3952735,366.3076923,320,360.301636,791.6161616,480,1225.845368,500,460,510.5036273,1457.777778,740,1702.623569,904.1538462,660,793.4057533,22.1618131,21.87366225,2.386273882,21.54390079,21.32185143,1.972962147,1461.057237,1046.450373,1283.750673,1061.470952,967.1537345,577.465601,-1.851621176,-1.845628771,0.322344012,-1.850279088,-1.845628771,0.322920123,0.254083208,0.015282272,0.318898646,2.651515152,3,0.733640537,35751370f8d73b1209971be9ada47ac9,Spanish,Neutral
38.656,37.55,0.403883495,0.755447942,0.174842145,0.152623214,0.139855239,0.16621636,0.143264421,0.129416337,102.1786731,116.1802606,43.19230976,109.69778,118.7951204,37.46942074,-16.90038099,-16.81110929,2.131082552,-16.60660251,-16.58272426,1.86237107,101.3103366,112.4587847,33.33878371,108.8404741,116.1616162,28.85166557,-14.73625683,-14.4791986,2.589287851,-15.17088729,-14.90038393,2.527060512,0.0548638,0.044106671,0.064645951,0.093765616,0.06987745,0.066584609,0.098404707,0.071777962,0.071784567,14.01882918,15.033215,4.702883635,185.7720009,162.5128612,60.00378443,173.9167568,148.0167193,51.27419533,0.14718095,0.082064462,0.132931327,0.054113748,0.042085821,0.047116643,442.0186667,421.97,130.7581629,77.99825814,59.0864209,65.38376823,1994.74202,1773.77,1824.767172,244.6370633,211.2333357,152.7998094,3183.626734,2701.5,2265.834204,221.5465261,191.3539603,126.9641955,0.064497097,0.007328261,0.138284842,0.449918734,0.206638514,0.768382455,5.543317174,5.245169362,0.695979612,-22.41795292,-23.025704,3.716304471,9.359159715,9.425662312,2.791448091,1889.963621,1415.102843,1326.077837,7.646015857,8.416650332,2.749224898,8.697840393,9.165472934,1.887405946,12.47172537,11.25239313,5.202405439,12.66403761,11.33647905,5.482103014,-0.118062473,-0.170131279,0.361723895,-0.125382248,-0.170598649,0.338663826,371.6464891,300,260.3632911,361.098546,300,149.6579325,140.4846979,129.4099554,38.79368881,332.5181598,280,339.4008307,300.3877221,260,89.03570923,525.811138,420,647.4057381,455.1857835,400,390.7582324,1270.484262,700,1332.822208,1017.899838,620,940.4392606,21.42645857,21.35908376,2.460784253,20.69936887,20.7902657,2.162942002,1415.054537,1152.967687,887.5917295,1179.464824,1068.264612,560.9563444,-1.724913848,-1.736080886,0.404390589,-1.828842203,-1.834898301,0.345647251,0.171592459,0,0.281124936,2.634782609,3,0.715766725,35751370f8d73b1209971be9ada47ac9,Spanish,Sad
2.048,0.85,0.1125,0.529411765,0.152852233,0.104800677,0.140858729,0.198242735,0.104800677,0.170452874,36.24290668,16.6223146,35.38608941,38.98148289,16.6223146,37.66475411,-15.96870906,-15.79691561,1.117488164,-16.09958753,-16.09018503,1.289334909,90.44653535,95.95959596,10.85141671,91.29977695,95.95959596,9.922431419,-12.18394665,-12.18345227,2.153278918,-13.01842216,-14.30929902,2.384129299,0.011412677,0.000540721,0.023297677,0.047533299,0.033878611,0.029583272,0.047246039,0.033878611,0.029728155,6.276889408,6.535482847,3.295081869,552.0682849,200.2816014,681.2124342,345.1084923,185.6681665,523.9351951,0.15502222,0.147804835,0.09662142,0.028580959,0.016137984,0.032791559,1080.6,459.93,987.6858763,121.3290168,66.57164559,135.6471104,2316.671765,2096.84,806.7176131,235.3137161,221.9100014,142.3434334,3183.685294,3012.27,1131.259754,257.7316328,247.2372217,177.0272656,0.121221605,0.000967439,0.259745472,2.763045716,3.164119016,0.733187098,5.586351357,5.636118286,0.290343116,-17.84836549,-17.87767486,2.203611697,8.754446256,7.120498003,4.335698191,1622.811157,742.699365,2285.232813,4.17862271,4.429945072,3.078015106,5.380436019,5.866477684,1.959388184,9.032883034,7.690487407,4.166477163,9.375807117,7.551646562,4.293223085,-0.10410086,-0.180961591,0.546894701,0.012843456,0.201390648,0.535627212,2221.176471,460,2766.283342,1760,460,2732.508005,245.8026788,178.4293385,200.8342791,1291.764706,340,1462.156948,991.1111111,280,1452.105751,2134.117647,460,2294.686958,1540,460,2213.165154,3065.882353,1720,2721.752787,2357.777778,920,2517.726046,23.37928786,22.14953378,3.403941232,22.03927668,21.33659302,2.089017573,2404.932489,1105.609513,1922.624754,1896.582558,837.4232472,1858.572312,-2.373932296,-2.349018683,0.514595526,-2.415277262,-2.423392829,0.438430982,0.581708197,0.691852177,0.294509323,2.777777778,2,1.201850425,382342c35ba2858cf4562c11a022ba86,Spanish,Happy
6.997333333,5.85,0.417266187,0.678362573,0.263379621,0.256102518,0.225891223,0.267253949,0.245933035,0.238323285,94.212715,100.161095,35.95915263,101.9511506,102.7835964,31.9303408,-15.71556909,-16.07099272,1.737455833,-15.31670763,-15.51065867,1.75836793,95.70075844,98.27517048,28.18715983,104.2067621,104.2008533,23.2220037,-12.606454,-11.94739724,3.039215354,-13.02830115,-12.69132813,3.001523059,0.08071166,0.05910855,0.083179464,0.125599315,0.093916726,0.077080984,0.140479832,0.112962692,0.083804634,9.473597219,9.999819502,4.632211157,473.1559609,176.2318784,886.8521334,276.1812586,162.6306109,537.6536734,0.057976186,0.033612719,0.065605916,0.02868467,0.02371401,0.036287169,732.0074269,523.95,602.1162903,135.1080369,94.42062875,114.6104439,1958.491228,1992.13,706.7551643,246.6856013,223.3283453,163.3371557,2828.280941,2563.535,701.3521347,192.1090625,165.1596245,127.1315418,0.071755541,0.010046752,0.138113128,1.517094821,1.28358907,1.130642278,5.79587417,5,1.04316549,-19.92434274,-19.73397497,4.413040017,6.411222994,6.765505914,3.383789149,1601.917468,942.5048853,2981.410833,5.851956049,5.991583004,3.410536325,7.492114745,7.613645355,2.394360344,12.81282353,11.82964598,5.829894453,14.37195649,12.85241398,5.914539018,-0.098135696,-0.144519405,0.395737115,-0.116586746,-0.14733339,0.380385467,1036.140351,500,1563.704976,646.3157895,470,1243.814617,283.431089,143.6133579,619.9812223,874.2690058,320,1287.468066,449.8245614,300,728.5395531,1227.368421,540,1607.265701,710.5263158,500,1115.20532,2151.695906,1320,1945.938467,1479.824561,1010,1299.910128,23.16722644,23.26341352,2.395737126,22.37813313,22.61094093,2.133773049,1724.480698,1105.40931,1441.155316,1222.809391,984.0061234,924.6358565,-2.290790903,-2.198803999,0.541866391,-2.186706731,-2.109414084,0.507766678,0.34356126,0.072135411,0.372648165,2.290322581,2,0.611021632,382342c35ba2858cf4562c11a022ba86,Spanish,Neutral
1.28,1.2,0.4,0.689655172,0.179354968,0.156971302,0.128600342,0.207773263,0.169079717,0.136305259,84.9574251,91.1231006,29.34656241,87.15387324,91.19166454,24.61220002,-16.30269019,-16.46727992,1.02331558,-16.38521493,-16.50042466,1.106622064,94.307496,100.6144393,15.78741927,98.87718528,104.2352425,13.111487,-13.03005598,-13.07647267,2.775831367,-13.62511175,-14.08324875,2.708696524,0.095696206,0.043450959,0.103290159,0.158150763,0.149856445,0.094876981,0.190845254,0.185966251,0.093248874,8.402599755,8.418232384,4.778236145,194.4963723,201.4732479,40.73300064,193.178956,208.5626517,44.57535985,0.070654926,0.043823526,0.074872512,0.034423832,0.026372842,0.026364345,492.1831034,547.8,122.9732846,76.75911091,52.16105366,78.15266805,1461.385172,1160.52,566.9486146,196.0808291,170.1971242,113.074994,2465.545172,2497.06,513.5435221,209.7315921,154.1875874,179.7733173,0.11711015,0.040235011,0.166234629,3.312722721,3.57776107,2.03909541,5.538651687,5,0.963401421,-16.28067743,-15.8959602,2.114676308,5.979787635,7.341603821,5.575059625,829.2899871,558.3237826,753.8916466,6.764589979,7.061233652,3.355462209,7.445918308,7.532962959,2.779799169,10.82408978,10.72977621,5.763349879,12.82980098,12.58532152,5.367556285,-0.095263148,-0.20840714,0.441838793,-0.174428225,-0.26913017,0.417020046,387.5862069,240,205.2464576,415,550,200.1972711,206.1899336,126.3196003,160.6520864,322.7586207,260,139.8697494,346,350,135.1957645,485.5172414,520,189.0499973,506,570,194.3518242,781.3793103,640,498.7392973,830,670,570.3369272,21.78522823,21.87161137,2.429361299,21.02821942,20.8519266,2.185171201,902.8690353,843.7940869,327.5449858,902.658035,824.92044,337.8393989,-1.595410205,-1.492612384,0.338223987,-1.628354625,-1.509505697,0.337173561,0.377014015,0.277134699,0.395642577,2.7,2,1.059349905,382342c35ba2858cf4562c11a022ba86,Spanish,Sad
2.986666667,1.775,0,0,0.061608932,0.062601273,0.031990667,NA,NA,NA,11.52175284,11.75917787,1.054038761,NA,NA,NA,-16.27251085,-15.08619957,1.855080395,NA,NA,NA,43.40277778,43.40277778,5.265885725,NA,NA,NA,-13.21021774,-13.29488419,0.419693302,NA,NA,NA,0.009979922,0.001049712,0.026467882,0.08863552,0.072541919,0.05943306,NA,NA,NA,NA,NA,NA,289.2750187,256.1892531,100.813134,NA,NA,NA,0.271710553,0.278290738,0.073126343,NA,NA,NA,937.01,724.795,832.4072085,344.5568119,416.339327,142.5097623,3389.52875,3274.73,1395.657637,500.0460955,530.80831,97.19718045,5093.25625,4928.935,1381.217428,514.5313039,503.005507,53.35437366,0.108453454,0.000365408,0.256414619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.437335788,3.584287056,8.862089747,NA,NA,NA,19.48196028,19.08218845,8.324968038,NA,NA,NA,-0.143219163,-0.133173739,0.498250884,NA,NA,NA,395,250,442.0407221,NA,NA,NA,NA,NA,NA,497.5,340,447.6526077,NA,NA,NA,1002.5,720,873.3147035,NA,NA,NA,2870,3220,2052.566338,NA,NA,NA,25.99915264,24.71404108,3.366421201,NA,NA,NA,2295.075411,2517.901082,1176.404675,NA,NA,NA,-1.917140242,-1.848520898,0.485262931,NA,NA,NA,NA,NA,NA,NA,NA,NA,3ebeb856e54ebc9bd850cb1f8b364f46,Spanish,Happy
5.802666667,0.75,0.025974026,0.3,0.397728555,0.512126602,0.280023706,0.582906408,0.638973234,0.215357599,11.96235459,12.24423188,0.924222051,12.28395793,12.24975798,0.293337996,-14.88506341,-14.14276147,1.452946795,-13.87691321,-13.72478326,0.418995147,72.24418094,61.92358366,18.38328362,66.97408871,66.97408871,NA,-14.87080455,-14.17640426,3.151777451,-18.77130952,-18.77130952,NA,0.015139979,0.001109722,0.053247886,0.151473333,0.133112998,0.112612843,0.257885384,0.270563006,0.139099785,9.104154029,9.107977278,1.4400185,150.9010872,144.3989747,56.67145132,133.1391003,130.4625537,14.29223268,0.302083523,0.302624758,0.115366961,0.125085332,0.120441569,0.048042691,842.111,493.21,591.9388509,324.7173517,338.333775,136.7384685,1980.994,1634.27,549.3919933,281.940713,275.4129687,117.4593515,3322.99,2776.445,988.7951359,315.4343603,324.9852078,100.4767775,0.07579593,0.000363751,0.187852823,0.021887938,0.020951526,0.008876451,5,5,0,-26.58333264,-26.48152111,0.400832372,2.421630705,2.445297459,2.651620028,636.0720718,694.3527203,178.3930392,6.723810281,7.827015476,6.032857111,10.7614111,11.99689865,3.324266643,20.98833336,18.03063236,11.04632678,27.79357252,31.99658339,11.38683191,-0.125397231,-0.166310976,0.386509804,-0.201129991,-0.177434671,0.32776726,182,140,104.4081062,133.3333333,130,16.32993162,132.5437424,130.2162617,14.25884481,248,180,139.5330559,160,140,50.59644256,748,500,568.6697312,576.6666667,270,588.0702906,2164,1750,1104.757177,2050,1710,1204.707433,21.44846904,21.48542588,2.720982215,20.03525682,19.77563557,2.70193929,1955.325612,1894.028746,655.8070586,2004.596287,1893.611756,801.4183054,-1.792020046,-1.836346959,0.219277559,-1.681156768,-1.731399633,0.28736249,0.480257357,0.475770065,0.09771588,2.833333333,3,0.40824829,3ebeb856e54ebc9bd850cb1f8b364f46,Spanish,Neutral
3.84,3.65,0.375,0.721518987,0.150825537,0.112156017,0.110823966,0.170072391,0.150652283,0.118503204,16.35019903,12.88387168,14.95140239,16.60972657,13.1008625,14.20201611,-15.89899389,-16.11212926,1.903819916,-15.72920959,-15.94181117,1.923481824,68.86240221,71.74392936,24.45675217,74.50928395,75.75757576,23.04611205,-14.73292168,-14.25147363,3.81977496,-15.74280505,-15.73023971,3.935972462,0.02251292,0.011775333,0.027841138,0.039974668,0.027516594,0.029154867,0.0464368,0.041885735,0.031228426,7.460928033,7.306918247,1.835379344,224.9371713,235.2920554,44.47420791,225.8008206,235.316896,35.57324014,0.182304128,0.168404124,0.131520726,0.076708678,0.057079635,0.063319104,320.4427848,280.61,158.2976917,85.11482826,47.6507442,94.64906486,1481.147595,1472.81,501.2423524,232.453899,222.0465939,142.348197,3073.107722,2887.9,946.0750034,287.9965155,280.9124358,165.8796168,0.10050159,0.009560289,0.190290025,0.804993031,0.810816307,0.239968909,5.335050448,5.054254353,0.396793145,-19.33600345,-18.99029333,2.820009847,-1.484381755,-1.635876171,4.242309558,763.0864562,682.6655283,516.0278995,8.714114709,9.023417177,2.422648602,9.359304984,9.308884008,1.881177706,4.108081598,3.487124785,1.773942412,4.492136079,4.541822134,1.878101008,-0.076780967,-0.196621158,0.402825172,-0.105202431,-0.251047,0.40560573,240.7594937,240,40.31199325,240,240,30.03028774,226.9176964,234.7055324,38.62432712,227.5949367,220,46.44310525,221.0714286,220,23.94528395,389.8734177,260,468.7667773,324.6428571,260,360.0200211,1062.531646,420,1501.600401,892.8571429,380,1552.520197,21.47648366,21.69355241,2.647247846,20.89895923,21.49052167,2.749030591,1330.549625,990.5304076,889.7412513,1165.876162,905.9636867,847.0142846,-1.176578955,-1.158450095,0.226049184,-1.163045647,-1.158196068,0.224405181,0.64448279,0.653969393,0.172229419,3.178571429,3,1.177163661,3ebeb856e54ebc9bd850cb1f8b364f46,Spanish,Sad
13.56045351,11.66972789,0.493530499,0.887043189,0.156279522,0.123587122,0.134938765,0.150900892,0.117191149,0.134364039,82.85218757,102.5422804,48.78567056,82.71092267,109.4904993,50.10257436,-16.53984107,-16.38748736,1.991228381,-16.47811618,-16.33436073,2.002884845,104.5285923,115.5444597,33.98338321,108.4437292,116.4256198,32.19166691,-15.21973521,-14.90538297,3.035372929,-15.52110979,-15.47550837,2.972550231,0.029057837,0.023346249,0.030312397,0.050451157,0.045153633,0.024653682,0.052888842,0.049321229,0.02483137,9.649732534,9.551773597,1.866921541,160.282518,125.7949673,272.2182333,129.8317702,125.7407073,16.05807568,0.276907501,0.081694939,0.305600064,0.054321751,0.044966898,0.037833915,575.3566777,385.37,576.7399068,154.6055755,113.0473028,122.8773823,1979.037342,1872.92,731.5724972,212.8663664,178.454014,140.9866611,3029.854518,2544.38,1198.463653,204.055533,139.340823,168.8515153,0.075818706,0.009715294,0.174320612,0.358488087,0.203273046,0.537677782,5.717207823,5.438647955,0.843252122,-22.86934419,-23.08660533,2.135169734,3.764899581,3.684577052,3.234350958,692.9835074,605.6170019,368.4381991,9.299974006,9.545192964,3.000644162,10.0029178,10.07133522,2.225040678,6.161910067,6.028712471,2.112822259,6.291175529,6.150525988,2.154696585,-0.131553607,-0.186038755,0.312957968,-0.136215273,-0.192256887,0.317826039,322.1394505,120.0544465,745.4045008,241.4679999,120.0544465,501.8443396,129.1084672,125.0237099,19.41901861,333.6396826,160.0725953,726.5802457,259.1363901,140.0635209,581.1515465,569.4941544,340.154265,981.1894702,469.797966,320.1451906,811.7288809,1205.995442,640.2903811,1669.901481,1060.933979,580.2631579,1490.775671,21.3112545,20.86084437,2.5627416,20.94524645,20.66210711,2.345740222,1223.360986,939.0292426,1115.125127,1121.714539,923.1852133,948.20928,-1.665370049,-1.674695135,0.333982004,-1.642980207,-1.651194568,0.331071547,0.220440408,0.143275743,0.239332856,2.560240964,3,0.555400976,467bf57168caa7ee42a8344cd47fe8ef,Spanish,Neutral
